"","tconst","title","year","runtime","genres","averageRating","numVotes","average_age"
"24678","tt0117008","Matilda","1996","98","Comedy,Family,Fantasy",6.9,111373,52
"24679","tt0117011","Maximum Risk","1996","101","Action,Crime,Mystery",5.5,18646,39.6666666666667
"24682","tt0117038","Michael","1996","105","Comedy,Drama,Fantasy",5.7,38516,47.3333333333333
"24685","tt0117039","Michael Collins","1996","133","Biography,Drama,Thriller",7.2,27607,37.6666666666667
"24688","tt0117040","Microcosmos","1996","80","Documentary",7.9,10213,55
"24689","tt0117057","The Mirror Has Two Faces","1996","126","Comedy,Drama,Romance",6.5,13749,54.5
"24691","tt0117060","Mission: Impossible","1996","110","Action,Adventure,Thriller",7.1,358687,43
"24694","tt0117069","Moebius","1996","88","Mystery,Sci-Fi,Thriller",6.9,1652,52
"24696","tt0117070","Mojave Moon","1996","95","Comedy,Romance,Thriller",5.2,2247,51.5
"24698","tt0117071","Moll Flanders","1996","123","Drama,Romance",6.5,3759,47
"24700","tt0117073","My Man","1996","99","Comedy,Drama,Romance",6.5,1219,38
"24702","tt0117091","Mother","1996","104","Comedy,Drama",6.9,5296,54
"24704","tt0117093","Mother Night","1996","114","Drama,Romance,War",7.2,4659,55
"24705","tt0117102","Mr. Wrong","1996","96","Comedy",3.8,4672,51.5
"24707","tt0117104","Mrs. Winterbourne","1996","105","Comedy,Drama,Romance",6.2,6438,36.5
"24709","tt0117107","Mulholland Falls","1996","107","Crime,Drama,Mystery",6.2,14773,49.5
"24711","tt0117108","Multiplicity","1996","117","Comedy,Romance,Sci-Fi",6,28081,27
"24713","tt0117110","Muppet Treasure Island","1996","99","Action,Adventure,Comedy",7,19122,40
"24716","tt0117119","My Fellow Americans","1996","101","Adventure,Comedy",6.5,13452,58.25
"24720","tt0117128","Mystery Science Theater 3000: The Movie","1996","73","Comedy,Sci-Fi",7.3,17121,37.5
"24724","tt0117135","Jailbirds","1996","96","Comedy,Crime,Drama",5.9,1538,34.6666666666667
"24727","tt0117143","Nach Fünf im Urwald","1995","99","Comedy,Romance",7.1,1439,39
"24728","tt0117151","Goodbye, South, Goodbye","1996","124","Crime,Drama",7.3,1332,39
"24730","tt0117193","No Way Back","1995","91","Action,Crime,Drama",5.2,2205,39.3333333333333
"24733","tt0117194","No Way Home","1996","99","Crime,Drama,Thriller",6.8,1274,46
"24736","tt0117202","Normal Life","1996","101","Crime,Drama",6.3,2052,33.3333333333333
"24739","tt0117214","A Moment of Innocence","1996","78","Comedy,Drama",7.9,2643,39
"24740","tt0117218","The Nutty Professor","1996","95","Comedy,Romance,Sci-Fi",5.6,101529,48.6666666666667
"24743","tt0117221","Nenette and Boni","1996","103","Drama",7,1172,37
"24745","tt0117238","Omega Doom","1996","84","Drama,Sci-Fi,Thriller",4.5,2702,51
"24747","tt0117247","One Fine Day","1996","108","Comedy,Drama,Romance",6.5,40539,21
"24749","tt0117260","Original Gangstas","1996","99","Action,Crime,Drama",5.7,1351,58.3333333333333
"24752","tt0117273","Outsider","1997","100","Drama",8.1,1047,49.5
"24754","tt0117283","The Pallbearer","1996","98","Comedy,Romance",5,7387,28
"24756","tt0117284","Palookaville","1995","92","Comedy,Crime",6.6,2300,33.3333333333333
"24759","tt0117318","The People vs. Larry Flynt","1996","129","Biography,Drama",7.3,82297,31.6666666666667
"24762","tt0117331","The Phantom","1996","100","Action,Adventure,Comedy",4.9,30551,37.5
"24764","tt0117333","Phenomenon","1996","123","Drama,Fantasy,Romance",6.4,70934,47.3333333333333
"24767","tt0117338","Picnic","1996","68","Drama,Fantasy",7.3,1388,29.6666666666667
"24770","tt0117342","Pinocchio's Revenge","1996","96","Fantasy,Horror",4.1,1847,58
"24771","tt0117350","Plump Fiction","1997","82","Comedy,Crime",2.8,3491,34.5
"24773","tt0117364","The Portrait of a Lady","1996","144","Drama,Romance",6.3,10064,41
"24775","tt0117372","The Preacher's Wife","1996","123","Comedy,Drama,Fantasy",5.5,10225,42.6666666666667
"24778","tt0117381","Primal Fear","1996","129","Crime,Drama,Mystery",7.7,163918,43.3333333333333
"24781","tt0117394","Deep Crimson","1996","110","Crime,Drama,Romance",7.3,1445,35
"24782","tt0117398","La Promesse","1996","90","Drama",7.9,6487,24
"24784","tt0117407","Pusher","1996","110","Crime,Thriller",7.4,31242,35.6666666666667
"24787","tt0117412","Pédale douce","1996","100","Comedy",5.8,1522,41.5
"24789","tt0117420","The Quest","1996","95","Action,Adventure,Drama",5.6,22344,49.3333333333333
"24792","tt0117427","Race the Sun","1996","100","Adventure,Comedy,Drama",5.4,2911,39.6666666666667
"24795","tt0117437","Raja Hindustani","1996","165","Action,Comedy,Drama",6.2,6282,40
"24798","tt0117438","Ransom","1996","121","Action,Crime,Thriller",6.7,111152,30.3333333333333
"24801","tt0117468","Retroactive","1997","91","Action,Crime,Drama",6.3,5252,38.5
"24803","tt0117473","The Rich Man's Wife","1996","95","Thriller",5.2,2886,34.6666666666667
"24806","tt0117477","Ridicule","1996","102","Comedy,Drama,Romance",7.4,6697,52
"24808","tt0117496","Robinson Crusoe","1997","105","Adventure,Drama",6,11116,38.5
"24810","tt0117500","The Rock","1996","136","Action,Adventure,Thriller",7.4,292986,48.5
"24814","tt0117509","Romeo + Juliet","1996","120","Drama,Romance",6.8,195227,29
"24817","tt0117533","Sabotage","1996","99","Action,Drama,Thriller",6,1254,39.3333333333333
"24820","tt0117550","Santa with Muscles","1996","97","Comedy",2.5,8321,48
"24823","tt0117555","The Perfect Circle","1997","110","Drama,War",8.1,1789,31.5
"24827","tt0117561","Schizopolis","1996","96","Comedy,Fantasy,Mystery",7,4876,36.75
"24831","tt0117571","Scream","1996","111","Horror,Mystery",7.2,260580,25.5
"24833","tt0117577","The Search for One-eye Jimmy","1994","80","Comedy",6,1319,34
"24837","tt0117581","The Secret Agent Club","1996","90","Action,Comedy,Family",3.4,1144,28.5
"24839","tt0117582","The Secret Agent","1996","95","Drama,Thriller",5.7,2109,49.6666666666667
"24842","tt0117589","Secrets & Lies","1996","136","Drama",8,33701,39
"24843","tt0117608","Sgt. Bilko","1996","93","Comedy",5.8,20132,47.6666666666667
"24846","tt0117609","Sgt. Kabukiman N.Y.P.D.","1990","105","Action,Comedy,Crime",5.9,2552,50
"24847","tt0117611","Shadow Builder","1998","120","Action,Horror,Thriller",5,1246,39
"24849","tt0117615","Shall We Dance?","1996","136","Comedy,Drama,Music",7.7,10012,40
"24851","tt0117628","She's the One","1996","96","Comedy,Drama,Romance",6,15505,36
"24854","tt0117631","Shine","1996","105","Biography,Drama,Music",7.7,48587,55.5
"24856","tt0117653","Silent Trigger","1996","93","Action,Drama,Thriller",5.6,3356,36
"24858","tt0117658","The Stendhal Syndrome","1996","120","Horror,Mystery,Thriller",6.1,6777,38.6666666666667
"24861","tt0117665","Sleepers","1996","147","Crime,Drama,Thriller",7.6,175050,38.5
"24865","tt0117666","Sling Blade","1996","135","Drama",8,81515,45.5
"24869","tt0117688","Solo","1996","94","Action,Sci-Fi,Thriller",4,3883,43
"24873","tt0117690","Some Mother's Son","1996","112","Drama,History",7.3,2371,29.5
"24875","tt0117695","I'm Crazy About Iris Blond","1996","110","Comedy,Romance",6.2,1043,46
"24876","tt0117705","Space Jam","1996","88","Adventure,Animation,Comedy",6.4,141171,37
"24878","tt0117715","Conspirators of Pleasure","1996","85","Comedy,Drama",7.5,2889,34
"24879","tt0117718","The Spitfire Grill","1996","117","Drama",6.9,5102,42
"24880","tt0117723","Spy Hard","1996","81","Action,Comedy",5.3,33982,71.5
